Text,Sentiment
rất sẽ không bao giờ dùng nữa tại delivery service...,False
super helpful support at this store...,True
"Rất chất lượng kém, laggy experience!! 😡",False
"Quá nhân viên thân thiện, easy to use app!! 👏",True
"quá thái độ phục vụ kém, overpriced!",False
careful packaging at their app.,True
"Rất trải nghiệm kém, terrible experience. 👎",False
thật sự giá hợp lý tại trung tâm bảo hành... 🙂,True
"quá giá quá cao, item not as described... 👎",False
Worth the money at their app!!,True
painful warranty at this site.,False
khuyến mãi hấp dẫn tại banking app,True
Chất lượng kém tại online shop...,False
Quá dịch vụ rất tốt tại hotel! 💯,True
Quá chậm trễ tại quán cà phê.,False
"Rất bảo hành phiền phức, terrible experience",False
"Đóng gói sơ sài, not worth it. 😞",False
Great service at their service.,True
poor quality at the app,False
"Rất khuyến mãi hấp dẫn, I will come back!",True
Thật sự chậm trễ tại mobile app... 😡,False
"Rất chất lượng tuyệt vời, reasonable price 👍",True
Quá đóng gói sơ sài tại nhà hàng...,False
"Quá trải nghiệm mượt mà, I will come back!",True
buggy app at this site!,False
Bảo hành chu đáo tại laptop store!,True
poor quality at this site,False
Laggy experience at their service,False
not worth it at this app!!,False
Quá trải nghiệm mượt mà tại hotel...,True
Terrible experience at this site...,False
"Thật sự đóng gói cẩn thận, awesome deal 😃",True
rude service at this app.,False
reasonable price at the app... 👍,True
"cực kỳ thái độ phục vụ kém, rude service!! 😩",False
"Thật sự ứng dụng dễ dùng, friendly staff...",True
"Thật sự hỗ trợ chậm, never using again...",False
friendly staff at their app. 👏,True
Cực kỳ giá quá cao tại siêu thị...,False
giao hàng nhanh tại ứng dụng đặt xe!!,True
"Quá liên hệ khó khăn, not worth it!!",False
rất bảo hành chu đáo tại siêu thị!,True
"quá sản phẩm không đúng mô tả, overpriced...",False
Worth the money at this site... 🙂,True
Awesome deal at this site!,True
smooth experience at this site! ✨,True
item not as described at the service! 💢,False
"Siêu giao hàng nhanh, super helpful support!! 🙂",True
cực kỳ sản phẩm không đúng mô tả tại website thương mại điện tử! 👎,False
quá ứng dụng dễ dùng tại dịch vụ internet! 💯,True
"Cực kỳ đóng gói sơ sài, hard to contact!",False
fast delivery at their service,True
"Thật sự không đáng tiền, never using again",False
reliable warranty at their site,True
"rất sản phẩm không đúng mô tả, buggy app!!",False
very satisfied at this app.,True
"Rất ứng dụng hay bị lỗi, hard to contact! 😩",False
"Rất trải nghiệm mượt mà, reasonable price ✨",True
Late delivery at their app.,False
đáng tiền tại trung tâm bảo hành! 👍,True
Cực kỳ chất lượng kém tại quán cà phê!!,False
Friendly staff at the store.,True
Rất chất lượng kém tại delivery service,False
reasonable price at this app.,True
"quá chất lượng kém, terrible experience!",False
Rất ứng dụng dễ dùng tại delivery service,True
item not as described at this app... 😡,False
"Thật sự tôi sẽ quay lại, super helpful support.",True
"đóng gói sơ sài, laggy experience.",False
Very satisfied at their store...,True
Rất thất vọng tại cửa hàng điện thoại!! 🤦,False
"Phản hồi kịp thời, I will come back...",True
"quá quá tệ, item not as described. 😞",False
Friendly staff at this store!,True
"Quá sản phẩm không đúng mô tả, painful warranty!!",False
"quá hỗ trợ nhanh chóng, excellent quality!!",True
Đóng gói sơ sài tại quán cà phê...,False
Rất trải nghiệm mượt mà tại trung tâm bảo hành 👏,True
"thật sự rất thất vọng, rude service!! 😞",False
Sản phẩm đúng mô tả tại trung tâm bảo hành 😃,True
"Siêu ứng dụng dễ dùng, worth the money... 😃",True
rất khuyến mãi hấp dẫn tại siêu thị!!,True
Item not as described at this service. 🤦,False
Reliable warranty at the site.,True
quá thái độ phục vụ kém tại hotel... 💢,False
rất rất hài lòng tại website thương mại điện tử. 🙂,True
"Thật sự rất hài lòng, matches the description...",True
smooth experience at this site,True
Slow support at their service 👎,False
not worth it at this app! 👎,False
"Rất chất lượng kém, laggy experience... 😩",False
"Tôi sẽ quay lại, great service.",True
Quá sẽ không bao giờ dùng nữa tại hotel,False
siêu giao hàng nhanh tại quán cà phê!! 👏,True
thật sự rất hài lòng tại dịch vụ internet!,True
Worth the money at their store 🙂,True
rude service at this app...,False
siêu khuyến mãi hấp dẫn tại website thương mại điện tử! 🙂,True
quá quá tệ tại siêu thị!!,False
"siêu sản phẩm đúng mô tả, easy to use app. 👏",True
chậm trễ tại mobile app! 😞,False
"Quá dịch vụ rất tốt, fast delivery!!",True
Rude service at this service,False
"Rất ứng dụng dễ dùng, smooth experience! 🙂",True
chất lượng kém tại dịch vụ internet...,False
Siêu nhân viên thân thiện tại mobile app,True
Cực kỳ chất lượng kém tại trung tâm bảo hành! 😡,False
Quá bảo hành chu đáo tại laptop store,True
"rất chậm trễ, overpriced! 💢",False
Reasonable price at their service!! 💯,True
Buggy app at this store... 💢,False
"rất rất hài lòng, prompt response",True
Not worth it at their site!! 👎,False
"cực kỳ hỗ trợ chậm, never using again!",False
"không đáng tiền, laggy experience 🤦",False
"quá bảo hành chu đáo, super helpful support. ✨",True
"rất trải nghiệm kém, item not as described...",False
Đóng gói cẩn thận tại cinema,True
Very satisfied at this site,True
super helpful support at their store. ✨,True
"Cực kỳ chất lượng kém, buggy app!!",False
Rất sản phẩm đúng mô tả tại siêu thị.,True
Thật sự giao hàng chậm tại website thương mại điện tử...,False
Easy to use app at their site...,True
Overpriced at this store. 👎,False
Matches the description at this service...,True
Rất sẽ không bao giờ dùng nữa tại customer service!!,False
"Rất khuyến mãi hấp dẫn, reliable warranty!!",True
quá sẽ không bao giờ dùng nữa tại trung tâm bảo hành. 😡,False
fast delivery at this store!!,True
"quá tôi sẽ quay lại, prompt response!! 🙂",True
siêu trải nghiệm mượt mà tại website thương mại điện tử. 😃,True
"Cực kỳ giao hàng chậm, poor quality! 😩",False
"thật sự bảo hành chu đáo, I will come back.",True
thật sự sản phẩm không đúng mô tả tại customer service! 😩,False
Rất giao hàng nhanh tại ứng dụng đặt xe!!,True
"Rất trải nghiệm kém, rude service!!",False
quá ứng dụng dễ dùng tại cinema. 💯,True
painful warranty at this site 👎,False
"Quá chất lượng tuyệt vời, fast delivery! ✨",True
"Sản phẩm không đúng mô tả, bad packaging.",False
thật sự khuyến mãi hấp dẫn tại quán cà phê... 😃,True
"Hỗ trợ chậm, overpriced.",False
Quá trải nghiệm mượt mà tại cửa hàng điện thoại. 😃,True
"rất trải nghiệm kém, very disappointed.",False
reasonable price at their site!,True
quá thái độ phục vụ kém tại trung tâm bảo hành...,False
"quá rất hài lòng, very satisfied!",True
Rất chậm trễ tại cinema...,False
Quá giá hợp lý tại mobile app...,True
quá tệ tại cinema 👎,False
"cực kỳ hỗ trợ chậm, slow support",False
đóng gói sơ sài tại banking app.,False
Careful packaging at their service,True
Super helpful support at their store. 😃,True
"thật sự trải nghiệm mượt mà, reasonable price!",True
Rất giao hàng chậm tại customer service 🤦,False
siêu chất lượng tuyệt vời tại cinema... 🙂,True
"quá tệ, not worth it!! 😡",False
Thật sự ứng dụng dễ dùng tại laptop store!,True
poor quality at the site 🤦,False
Great service at their app... ✨,True
Overpriced at the service... 💢,False
Sản phẩm đúng mô tả tại customer service. 💯,True
"Tôi sẽ quay lại, worth the money...",True
reasonable price at this store...,True
quá giao hàng chậm tại trung tâm bảo hành!!,False
Friendly staff at the store.,True
Very disappointed at this app,False
Reasonable price at this site... 😃,True
Rất bảo hành phiền phức tại quán cà phê. 😞,False
thật sự sản phẩm đúng mô tả tại dịch vụ internet,True
rất thất vọng tại quán cà phê,False
I will come back at this site!! 💯,True
thật sự chất lượng kém tại mobile app 👎,False
"Rất bảo hành chu đáo, awesome deal!! ✨",True
"Cực kỳ quá tệ, item not as described!",False
Excellent quality at the store! 💯,True
"thật sự chậm trễ, not worth it!",False
"Thật sự sản phẩm đúng mô tả, smooth experience.",True
"Cực kỳ quá tệ, laggy experience...",False
"Thật sự liên hệ khó khăn, never using again... 👎",False
Cực kỳ rất thất vọng tại customer service! 👎,False
"trải nghiệm mượt mà, friendly staff!! 👏",True
hard to contact at the app.,False
Excellent quality at their site...,True
"Cực kỳ chậm trễ, hard to contact 😩",False
"Quá phản hồi kịp thời, great service 😃",True
"sản phẩm không đúng mô tả, painful warranty.",False
Super helpful support at their service.,True
Ứng dụng hay bị lỗi tại online shop,False
siêu nhân viên thân thiện tại ứng dụng đặt xe...,True
poor quality at the service!! 😡,False
"quá đóng gói cẩn thận, worth the money... 👍",True
Hỗ trợ chậm tại mobile app... 😩,False
quá nhân viên thân thiện tại siêu thị!,True
"Sản phẩm không đúng mô tả, poor quality! 💢",False
fast delivery at the store,True
item not as described at this site...,False
Giá hợp lý tại delivery service!!,True
Bảo hành chu đáo tại dịch vụ internet!!,True
Quá nhân viên thân thiện tại banking app... 👍,True
very slow at the store,False
Matches the description at their site,True
"sản phẩm không đúng mô tả, buggy app",False
quá đóng gói sơ sài tại customer service,False
Slow support at the service!!,False
"Siêu trải nghiệm mượt mà, I will come back.",True
Poor quality at the service 👎,False
super helpful support at the app!!,True
Late delivery at their store!,False
"Thật sự đáng tiền, very satisfied... 👍",True
"Rất giá quá cao, poor quality",False
smooth experience at the site!,True
bad packaging at this store! 😞,False
Reasonable price at the store...,True
Rất đóng gói sơ sài tại quán cà phê!!,False
"quá đáng tiền, awesome deal!",True
"quá chậm trễ, hard to contact... 😡",False
"đáng tiền, smooth experience!! ✨",True
hard to contact at their store!! 😩,False
"siêu đóng gói cẩn thận, reliable warranty. 😃",True
"Thật sự ứng dụng hay bị lỗi, poor quality!!",False
"bảo hành phiền phức, late delivery... 👎",False
Cực kỳ hỗ trợ chậm tại dịch vụ internet!!,False
Ứng dụng dễ dùng tại mobile app. 🙂,True
bad packaging at this app!! 😞,False
Awesome deal at the site 😃,True
Chất lượng kém tại website thương mại điện tử 😩,False
"Siêu tôi sẽ quay lại, super helpful support",True
Hard to contact at the store!,False
"siêu giá hợp lý, reliable warranty",True
very disappointed at this service!,False
thật sự khuyến mãi hấp dẫn tại cinema 🙂,True
"thật sự thái độ phục vụ kém, rude service",False
I will come back at the app! 😃,True
"Sẽ không bao giờ dùng nữa, terrible experience.",False
"trải nghiệm mượt mà, easy to use app!! 👍",True
Very slow at the service 😩,False
"Thật sự sản phẩm đúng mô tả, smooth experience.",True
late delivery at the service!,False
"Rất đáng tiền, awesome deal!! 👏",True
"Chất lượng kém, hard to contact.",False
Quá tôi sẽ quay lại tại customer service!!,True
rude service at this app,False
rất bảo hành chu đáo tại cửa hàng điện thoại,True
"cực kỳ rất thất vọng, painful warranty!",False
Smooth experience at the store.,True
"Cực kỳ trải nghiệm kém, very slow!! 👎",False
"Giao hàng nhanh, very satisfied. 👍",True
"Hỗ trợ chậm, never using again...",False
I will come back at this site...,True
"Sản phẩm đúng mô tả, easy to use app!!",True
"quá sản phẩm đúng mô tả, easy to use app!!",True
"cực kỳ ứng dụng hay bị lỗi, very disappointed! 🤦",False
"Siêu ứng dụng dễ dùng, super helpful support...",True
"Cực kỳ đóng gói sơ sài, slow support...",False
Thật sự giao hàng nhanh tại nhà hàng!,True
Laggy experience at the service...,False
"sản phẩm đúng mô tả, matches the description!",True
"thật sự bảo hành phiền phức, not worth it!",False
"Thật sự đóng gói cẩn thận, prompt response 👏",True
"Rất sẽ không bao giờ dùng nữa, slow support. 😡",False
Rất giá hợp lý tại customer service... ✨,True
Not worth it at their store...,False
Very satisfied at this app!,True
"Cực kỳ quá tệ, very slow!!",False
"Ứng dụng dễ dùng, matches the description",True
painful warranty at this service!,False
"rất hài lòng, very satisfied!!",True
"Giá quá cao, terrible experience!",False
Siêu nhân viên thân thiện tại banking app!!,True
Very slow at their store...,False
Friendly staff at this site 👍,True
cực kỳ đóng gói sơ sài tại delivery service! 😩,False
"tôi sẽ quay lại, great service!!",True
thật sự hỗ trợ chậm tại mobile app... 👎,False
Siêu phản hồi kịp thời tại nhà hàng! 🙂,True
Not worth it at the service! 🤦,False
"Siêu giá hợp lý, smooth experience!!",True
quá trải nghiệm kém tại laptop store!,False
excellent quality at the app.,True
"Quá tệ, terrible experience...",False
siêu khuyến mãi hấp dẫn tại banking app... 😃,True
Terrible experience at their service...,False
"Rất trải nghiệm mượt mà, I will come back. 👍",True
cực kỳ trải nghiệm kém tại website thương mại điện tử!!,False
"Giao hàng nhanh, fast delivery...",True
item not as described at the site!,False
Prompt response at their app. 🙂,True
"thật sự hỗ trợ chậm, buggy app!!",False
"Rất dịch vụ rất tốt, worth the money... 💯",True
chất lượng kém tại dịch vụ internet...,False
"quá nhân viên thân thiện, very satisfied!!",True
late delivery at this site... 😩,False
very satisfied at their site.,True
"cực kỳ chậm trễ, rude service.",False
Siêu bảo hành chu đáo tại laptop store...,True
slow support at the store! 💢,False
Super helpful support at this service!,True
Laggy experience at their site.,False
fast delivery at their app!!,True
"thật sự bảo hành phiền phức, poor quality!! 🤦",False
"Thật sự sản phẩm đúng mô tả, great service.",True
quá không đáng tiền tại ứng dụng đặt xe!! 😞,False
"Siêu tôi sẽ quay lại, excellent quality!!",True
"Thật sự sẽ không bao giờ dùng nữa, not worth it",False
quá sản phẩm đúng mô tả tại ứng dụng đặt xe!!,True
"đóng gói sơ sài, laggy experience. 😡",False
Reliable warranty at their store...,True
"rất sản phẩm không đúng mô tả, hard to contact!",False
Fast delivery at the service! 👏,True
"Quá không đáng tiền, bad packaging! 😩",False
poor quality at their service!!,False
Thật sự không đáng tiền tại banking app...,False
rất dịch vụ rất tốt tại ứng dụng đặt xe!,True
"Rất chất lượng kém, late delivery. 🤦",False
matches the description at the site,True
"Rất thất vọng, item not as described!",False
Thật sự giao hàng nhanh tại banking app!,True
Quá trải nghiệm kém tại laptop store... 👎,False
Quá đáng tiền tại cửa hàng điện thoại.,True
Awesome deal at their app!! 👏,True
"rất hỗ trợ nhanh chóng, excellent quality!! ✨",True
"Quá trải nghiệm kém, laggy experience!",False
careful packaging at their site!! 👏,True
Buggy app at their site,False
Matches the description at this site!! 👍,True
Quá thái độ phục vụ kém tại trung tâm bảo hành 😞,False
"Sản phẩm đúng mô tả, friendly staff. 💯",True
Painful warranty at the service,False
prompt response at their service... 👏,True
"cực kỳ đóng gói sơ sài, laggy experience.",False
Careful packaging at the app! 💯,True
slow support at their service,False
"rất đáng tiền, excellent quality!!",True
thật sự giao hàng chậm tại laptop store...,False
Thật sự đóng gói cẩn thận tại siêu thị...,True
Overpriced at the service 🤦,False
reasonable price at this site! 😃,True
rude service at the store!,False
matches the description at the service!!,True
"Thật sự bảo hành phiền phức, very slow.",False
super helpful support at this service! 👏,True
Thật sự hỗ trợ chậm tại cửa hàng điện thoại... 😡,False
Siêu khuyến mãi hấp dẫn tại nhà hàng. 🙂,True
"sẽ không bao giờ dùng nữa, laggy experience...",False
siêu trải nghiệm mượt mà tại customer service,True
liên hệ khó khăn tại banking app...,False
quá phản hồi kịp thời tại mobile app...,True
Rất đóng gói sơ sài tại dịch vụ internet!!,False
worth the money at their site. 🙂,True
"Cực kỳ đóng gói sơ sài, buggy app!",False
Thật sự chất lượng tuyệt vời tại nhà hàng. 👍,True
never using again at their store 🤦,False
smooth experience at this app,True
Quá thái độ phục vụ kém tại ứng dụng đặt xe,False
excellent quality at their site,True
"Rất chậm trễ, poor quality...",False
quá ứng dụng dễ dùng tại hotel!!,True
"Cực kỳ không đáng tiền, very disappointed! 🤦",False
great service at this store!,True
Very slow at the service! 😡,False
quá nhân viên thân thiện tại banking app.,True
bad packaging at this store 🤦,False
Great service at their site,True
"quá không đáng tiền, overpriced!! 😩",False
"Thật sự bảo hành chu đáo, careful packaging.",True
"cực kỳ sản phẩm không đúng mô tả, late delivery!! 🤦",False
siêu rất hài lòng tại cinema. 💯,True
Quá bảo hành chu đáo tại ứng dụng đặt xe...,True
easy to use app at the app. 👏,True
not worth it at the store 😡,False
"Quá dịch vụ rất tốt, easy to use app",True
very disappointed at this site...,False
"rất tôi sẽ quay lại, fast delivery. ✨",True
thái độ phục vụ kém tại hotel!,False
"thật sự sản phẩm đúng mô tả, super helpful support!!",True
Cực kỳ bảo hành phiền phức tại website thương mại điện tử! 🤦,False
quá trải nghiệm mượt mà tại quán cà phê.,True
rất quá tệ tại banking app!! 😡,False
reasonable price at this app!!,True
thật sự đóng gói sơ sài tại website thương mại điện tử.,False
hỗ trợ nhanh chóng tại customer service 😃,True
Late delivery at the service. 👎,False
"Cực kỳ không đáng tiền, not worth it!",False
Quá chất lượng kém tại cinema.,False
Worth the money at the service,True
"quá bảo hành phiền phức, not worth it",False
"rất tôi sẽ quay lại, super helpful support",True
"sản phẩm không đúng mô tả, never using again!! 💢",False
careful packaging at the service!!,True
"Thật sự giá quá cao, item not as described!!",False
"rất nhân viên thân thiện, fast delivery. 👏",True
quá thái độ phục vụ kém tại hotel...,False
"Chất lượng tuyệt vời, easy to use app.",True
"Rất đóng gói sơ sài, bad packaging!!",False
giao hàng nhanh tại website thương mại điện tử!!,True
painful warranty at the store.,False
"Chất lượng tuyệt vời, reasonable price ✨",True
"quá thái độ phục vụ kém, never using again. 👎",False
"Rất trải nghiệm mượt mà, I will come back! ✨",True
cực kỳ thái độ phục vụ kém tại laptop store,False
"siêu rất hài lòng, very satisfied",True
fast delivery at their app.,True
"Rất chất lượng tuyệt vời, worth the money.",True
"thật sự hỗ trợ chậm, slow support... 😡",False
"Quá giao hàng nhanh, friendly staff... 💯",True
"Quá sản phẩm không đúng mô tả, terrible experience.",False
"rất tôi sẽ quay lại, reasonable price!!",True
bad packaging at their app...,False
"quá nhân viên thân thiện, reasonable price! 🙂",True
thật sự chậm trễ tại delivery service!,False
Thật sự trải nghiệm mượt mà tại cinema!,True
rất thất vọng tại mobile app,False
rất đóng gói cẩn thận tại customer service... 🙂,True
"rất sản phẩm không đúng mô tả, very slow... 😞",False
siêu đóng gói cẩn thận tại cửa hàng điện thoại!,True
Quá giao hàng chậm tại website thương mại điện tử,False
Siêu hỗ trợ nhanh chóng tại quán cà phê...,True
"cực kỳ không đáng tiền, poor quality! 🤦",False
Hỗ trợ nhanh chóng tại cinema!! 👍,True
"Cực kỳ trải nghiệm kém, bad packaging... 👎",False
"Bảo hành phiền phức, very slow!!",False
"quá sản phẩm đúng mô tả, excellent quality!",True
awesome deal at this service! 👍,True
rất chậm trễ tại cửa hàng điện thoại,False
Excellent quality at this store!,True
not worth it at the site 😩,False
"rất chất lượng tuyệt vời, careful packaging",True
"quá liên hệ khó khăn, never using again... 👎",False
Thật sự phản hồi kịp thời tại dịch vụ internet!! 💯,True
Slow support at this store...,False
Trải nghiệm kém tại online shop! 🤦,False
Rất sản phẩm không đúng mô tả tại trung tâm bảo hành!!,False
"rất giá hợp lý, very satisfied!",True
"thật sự quá tệ, rude service.",False
Reliable warranty at their site...,True
"rất trải nghiệm kém, not worth it 🤦",False
Rất trải nghiệm mượt mà tại banking app...,True
"giá quá cao, late delivery",False
đóng gói cẩn thận tại cinema...,True
"Cực kỳ ứng dụng hay bị lỗi, slow support! 😡",False
"Siêu giao hàng nhanh, I will come back...",True
rude service at this app. 😞,False
reasonable price at this service!,True
quá thái độ phục vụ kém tại nhà hàng.,False
excellent quality at this store! 👏,True
Rất liên hệ khó khăn tại hotel...,False
reliable warranty at this app... 👍,True
"rất giao hàng chậm, buggy app! 😞",False
"Siêu rất hài lòng, easy to use app.",True
Hỗ trợ chậm tại ứng dụng đặt xe!!,False
friendly staff at their service... 💯,True
cực kỳ giá quá cao tại ứng dụng đặt xe...,False
quá đóng gói cẩn thận tại siêu thị,True
rude service at this site! 😞,False
awesome deal at the site.,True
"Thật sự chậm trễ, painful warranty",False
"rất dịch vụ rất tốt, awesome deal 👏",True
Terrible experience at this site!!,False
Sản phẩm đúng mô tả tại trung tâm bảo hành! 💯,True
quá ứng dụng hay bị lỗi tại ứng dụng đặt xe!,False
Thật sự đóng gói cẩn thận tại delivery service!,True
Very disappointed at the site!! 🤦,False
Great service at this store!! 🙂,True
"cực kỳ giá quá cao, not worth it",False
Siêu tôi sẽ quay lại tại cinema.,True
rude service at the store!!,False
rất ứng dụng dễ dùng tại website thương mại điện tử... 👏,True
cực kỳ chất lượng kém tại nhà hàng. 😡,False
I will come back at their site. 👏,True
thật sự thái độ phục vụ kém tại quán cà phê!!,False
"siêu phản hồi kịp thời, reliable warranty... 😃",True
"Cực kỳ thái độ phục vụ kém, bad packaging... 😞",False
"Siêu trải nghiệm mượt mà, worth the money.",True
Rất chất lượng kém tại cinema,False
quá ứng dụng dễ dùng tại laptop store 👏,True
cực kỳ chậm trễ tại cinema!!,False
thật sự hỗ trợ nhanh chóng tại customer service!! 😃,True
Rất liên hệ khó khăn tại ứng dụng đặt xe.,False
quá giá hợp lý tại delivery service!,True
Cực kỳ sẽ không bao giờ dùng nữa tại nhà hàng!! 💢,False
siêu chất lượng tuyệt vời tại online shop...,True
"thật sự liên hệ khó khăn, painful warranty!! 😩",False
Reasonable price at the site,True
"Rất sản phẩm không đúng mô tả, hard to contact",False
"Rất rất hài lòng, reasonable price 😃",True
cực kỳ quá tệ tại hotel.,False
Matches the description at this store!,True
"ứng dụng hay bị lỗi, never using again!",False
smooth experience at their store... 👏,True
Hard to contact at their service.,False
"quá tôi sẽ quay lại, friendly staff!! 👍",True
rude service at the store!! 💢,False
Thật sự giao hàng nhanh tại cửa hàng điện thoại!!,True
"Quá hỗ trợ chậm, overpriced!!",False
worth the money at their app!!,True
Painful warranty at this service! 👎,False
Careful packaging at the service...,True
Tôi sẽ quay lại tại trung tâm bảo hành!!,True
"quá trải nghiệm mượt mà, reasonable price. 💯",True
Rất giá quá cao tại delivery service.,False
"quá khuyến mãi hấp dẫn, careful packaging...",True
"quá chậm trễ, hard to contact.",False
siêu đáng tiền tại delivery service ✨,True
"quá rất thất vọng, terrible experience 💢",False
Smooth experience at this app!! 👏,True
Very disappointed at this site!!,False
reasonable price at their app 👍,True
late delivery at their site...,False
quá khuyến mãi hấp dẫn tại delivery service!,True
"Thật sự quá tệ, terrible experience!! 😡",False
worth the money at this store... ✨,True
"Quá liên hệ khó khăn, very slow... 😩",False
"Thật sự ứng dụng dễ dùng, prompt response.",True
bad packaging at the service. 😩,False
Quá đóng gói cẩn thận tại customer service!,True
Thật sự đóng gói sơ sài tại quán cà phê!!,False
siêu đáng tiền tại dịch vụ internet...,True
"Rất bảo hành phiền phức, rude service 👎",False
